Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
An object moves with initial velocity vᵢ and constant acceleration a. What is its displacement after time t?,C,x = vᵢ · a · t,FALSE,PH14,x = vᵢ / a · t,FALSE,PH14,x = vᵢ·t + ½·a·t²,TRUE,,x = a / t²,FALSE,PH14,Standard kinematic equation: x = xᵢ + vᵢ·t + ½·a·t²
An object travels 100 m in 5 s starting from rest with constant acceleration. What is its final velocity?,A,v = 40 m/s,TRUE,,v = x / t,FALSE,PH8,v = x / a,FALSE,PH14,v = 5 · 100 = 500 m/s,FALSE,PH14,v² = vᵢ² + 2a·x— vᵢ = 0 → v = √(2a·x); use a = 2x / t² = 8
If a car slows from 30 m/s to 10 m/s in 4 s— what is its acceleration?,B,a = (vᵢ − v)/t = 5 m/s²,FALSE,PH10,a = −5 m/s²,TRUE,,a = v / t,FALSE,PH14,a = t / v,FALSE,PH14,Use a = ∆v / t = (v − vᵢ)/t for correct sign and magnitude.
An object starts at rest and accelerates for t seconds. What is its final velocity?,C,v = x / t,FALSE,PH14,v = t² / x,FALSE,PH14,v = a · t,TRUE,,v = x · a,FALSE,PH14,vᵢ = 0 → v = vᵢ + a·t = a·t
Which expression solves for acceleration a from displacement— time— and initial velocity?,A,a = [x − vᵢ·t] / (½·t²),TRUE,,a = vᵢ / x,FALSE,PH14,a = x / t,FALSE,PH14,a = t² / x,FALSE,PH14,From x = vᵢ·t + ½·a·t² → solve for a.
An object moves with constant acceleration. How does its velocity change over time?,D,It remains zero.,FALSE,PH12,It doubles every second.,FALSE,PH12,It decreases and reverses.,FALSE,PH10,It increases linearly with time.,TRUE,,For constant a → v = vᵢ + a·t → linear in t
Which variable causes the largest change in displacement for fixed acceleration?,B,Initial velocity.,FALSE,PH14,Time.,TRUE,,Final velocity.,FALSE,PH14,Mass.,FALSE,PH14,x = vᵢ·t + ½·a·t² → t affects both terms and enters quadratically.
If an object travels with constant velocity— which equation is valid?,A,x = v · t,TRUE,,x = ½·a·t²,FALSE,PH12,v = a / t,FALSE,PH14,a = v / x,FALSE,PH14,When a = 0 → x = v·t applies.
An object starts from rest and travels 36 m in 3 s. What is its acceleration?,C,6 m/s²,FALSE,PH14,4 m/s²,FALSE,PH14,8 m/s²,TRUE,,2 m/s²,FALSE,PH14,x = ½·a·t² → a = 2x / t² = 2·36 / 9 = 8
A car accelerates at 2 m/s² for 5 seconds from initial velocity of 10 m/s. What is final velocity?,D,10 m/s,FALSE,PH14,15 m/s,FALSE,PH14,0 m/s,FALSE,PH14,20 m/s,TRUE,,Standard v = vᵢ + a·t with vᵢ = 10— a = 2— t = 5
