Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
A spring with spring constant k is stretched by distance x. What is the spring force?,A,F = −k · x,TRUE,,F = x / k,FALSE,PH86,F = k · x²,FALSE,PH91,F = m · g,FALSE,PH90,Hooke’s Law: restoring force F = −k·x
A 2 kg mass stretches a vertical spring by 0.1 m. What is the spring constant?,C,k = 20 N/m,FALSE,PH87,k = 0.05 N/m,FALSE,PH87,k = 196 N/m,TRUE,,k = x / (m · g),FALSE,PH87,Spring constant from equilibrium: k = mg / x
A spring stores potential energy U when stretched a distance x. What is U?,D,U = k · x,FALSE,PH89,U = ½ · k · x,FALSE,PH89,U = k · x²,FALSE,PH89,U = ½ · k · x²,TRUE,,Elastic potential energy = ½·k·x² from area under F–x graph
A spring is compressed a distance x. What is the direction of force it applies?,C,Same as x.,FALSE,PH91,Perpendicular to compression.,FALSE,PH90,Opposite to direction of compression.,TRUE,,Downward.,FALSE,PH90,Spring pushes or pulls opposite the displacement from rest.
What happens to spring force if x is doubled?,B,It stays the same.,FALSE,PH86,It doubles.,TRUE,,It quadruples.,FALSE,PH89,It halves.,FALSE,PH91,F = −k·x → directly proportional to displacement.
Two springs in parallel both with k = 100 N/m are stretched 0.2 m. What is total force?,D,20 N,FALSE,PH89,10 N,FALSE,PH86,0.4 N,FALSE,PH91,40 N,TRUE,,Each spring: F = kx → total = 2kx = 40 N.
A spring supports a mass m. At equilibrium— what is the extension x?,A,x = m · g / k,TRUE,,x = k / (m · g),FALSE,PH87,x = √(k / m),FALSE,PH86,x = m / (k · g),FALSE,PH87,Equilibrium: F_spring = F_gravity → kx = mg → x = mg/k
A mass oscillates on a spring. At maximum displacement— what is the spring force?,C,Zero.,FALSE,PH89,Equal to gravitational force.,FALSE,PH91,Maximum value: F = −k·x₍max₎,TRUE,,Equal to kinetic energy.,FALSE,PH91,Spring force is greatest at farthest stretch or compression.
A spring stores 5 J of potential energy when stretched 0.5 m. What is k?,B,k = 0.5,FALSE,PH86,k = 40 N/m,TRUE,,k = 5 · 0.5,FALSE,PH87,k = √(5 / 0.5),FALSE,PH87,Use U = ½·k·x² → k = 2U / x²
Why can the spring force be negative?,D,It repels nearby forces.,FALSE,PH91,It lifts the spring.,FALSE,PH91,It reflects surface area.,FALSE,PH90,Because it opposes the direction of displacement.,TRUE,,F = −k·x → sign indicates restoring direction.
